name,size,bucket,contentType,timeCreated,updated,storageClass,DownloadTime,BucketDeleted
QueriesIndex-2020-06-09_10-03-51.csv,11.2 Kb,quarantine-monitor-cloud,text/csv,2020-06-09T16:03:51Z,2020-06-09T16:03:51Z,STANDARD,2020-06-15 11:26:07,TRUE
QueriesIndex-2020-06-09_12-04-03.csv,11.2 Kb,quarantine-monitor-cloud,text/csv,2020-06-09T18:04:03Z,2020-06-09T18:04:03Z,STANDARD,2020-06-15 11:26:09,TRUE
QueriesIndex-2020-06-09_15-04-17.csv,11.2 Kb,quarantine-monitor-cloud,text/csv,2020-06-09T21:04:18Z,2020-06-09T21:04:18Z,STANDARD,2020-06-15 11:26:12,TRUE
QueriesIndex-2020-06-09_16-03-53.csv,11.2 Kb,quarantine-monitor-cloud,text/csv,2020-06-09T22:03:53Z,2020-06-09T22:03:53Z,STANDARD,2020-06-15 11:26:16,TRUE
QueriesIndex-2020-06-09_17-03-59.csv,11.2 Kb,quarantine-monitor-cloud,text/csv,2020-06-09T23:03:59Z,2020-06-09T23:03:59Z,STANDARD,2020-06-15 11:26:19,TRUE
QueriesIndex-2020-06-09_18-04-05.csv,11.2 Kb,quarantine-monitor-cloud,text/csv,2020-06-10T00:04:05Z,2020-06-10T00:04:05Z,STANDARD,2020-06-15 11:26:22,TRUE
QueriesIndex-2020-06-09_19-03-48.csv,11.2 Kb,quarantine-monitor-cloud,text/csv,2020-06-10T01:03:48Z,2020-06-10T01:03:48Z,STANDARD,2020-06-15 11:26:25,TRUE
QueriesIndex-2020-06-09_20-04-02.csv,11.2 Kb,quarantine-monitor-cloud,text/csv,2020-06-10T02:04:03Z,2020-06-10T02:04:03Z,STANDARD,2020-06-15 11:26:28,TRUE
QueriesIndex-2020-06-10_08-03-47.csv,11.2 Kb,quarantine-monitor-cloud,text/csv,2020-06-10T14:03:48Z,2020-06-10T14:03:48Z,STANDARD,2020-06-15 11:26:29,TRUE
QueriesIndex-2020-06-10_09-03-56.csv,11.2 Kb,quarantine-monitor-cloud,text/csv,2020-06-10T15:03:56Z,2020-06-10T15:03:56Z,STANDARD,2020-06-15 11:26:31,TRUE
