QueryKey;geocoder_status;place_id;types
3509502 CAMPINAS 2020-06-12 12:01:02 NS;OK;ChIJX6KVFijKyJQRREXGYm_m1gk;street_address
2111300 SÃO LUÍS 2020-06-12 12:01:03 EW;OK;ChIJxSadQwKR9gcRDKu2FeMguC4;street_address
2111300 SÃO LUÍS 2020-06-12 12:01:03 EW;OK;ChIJaY6D0MKO9gcR1xvpf2A7TiY;"c(""establishment"", ""point_of_interest"")"
2111300 SÃO LUÍS 2020-06-12 12:01:03 EW;OK;ChIJdaCoDueO9gcR3y3p6O8aKJM;"c(""establishment"", ""point_of_interest"", ""store"")"
2111300 SÃO LUÍS 2020-06-12 12:01:04 NS;OK;ChIJ777qYJmN9gcRI-NgnnJ6Exw;street_address
2111300 SÃO LUÍS 2020-06-12 12:01:04 NS;OK;ChIJaY6D0MKO9gcR1xvpf2A7TiY;"c(""establishment"", ""point_of_interest"")"
2111300 SÃO LUÍS 2020-06-12 12:01:04 NS;OK;ChIJNU4yY72b9gcRkiLlhTTMY0I;street_address
3304904 SÃO GONÇALO 2020-06-12 12:01:06 EW;OK;ChIJAQDkUsqWmQARXh2J79v8rCg;"c(""bar"", ""establishment"", ""point_of_interest"")"
3304904 SÃO GONÇALO 2020-06-12 12:01:06 EW;OK;ChIJedwAs_qamQAR92JnQrV2eI8;street_address
3304904 SÃO GONÇALO 2020-06-12 12:01:06 EW;OK;ChIJRRmOimCDmQARLFwBHizW6P0;street_address
3304904 SÃO GONÇALO 2020-06-12 12:01:09 NS;OK;ChIJYQrA0iaamQARgGtoaW8nnTg;street_address
3304904 SÃO GONÇALO 2020-06-12 12:01:09 NS;OK;ChIJedwAs_qamQAR92JnQrV2eI8;street_address
3304904 SÃO GONÇALO 2020-06-12 12:01:09 NS;OK;ChIJAQQDddKamQARmR_2SGJyeBA;street_address
2704302 MACEIÓ 2020-06-12 12:01:12 EW;OK;ChIJxeDmOYBGAQcRic6gnoqo45w;street_address
2704302 MACEIÓ 2020-06-12 12:01:12 EW;OK;ChIJ_xYJ_G1FAQcRr6NxN0IlZFc;"c(""establishment"", ""point_of_interest"")"
2704302 MACEIÓ 2020-06-12 12:01:12 EW;OK;ChIJG_7EcSlQAQcRi_i_q7yVQzE;street_address
2704302 MACEIÓ 2020-06-12 12:01:14 NS;OK;ChIJp0AsDeQ3AQcRTDA_r7kvYTg;street_address
2704302 MACEIÓ 2020-06-12 12:01:14 NS;OK;ChIJ_xYJ_G1FAQcRr6NxN0IlZFc;"c(""establishment"", ""point_of_interest"")"
2704302 MACEIÓ 2020-06-12 12:01:14 NS;OK;ChIJmzX7FghFAQcRwDRig-bw-DE;street_address
3301702 DUQUE DE CAXIAS 2020-06-12 12:01:16 EW;OK;ChIJcdL0zF16mQARZFvA4qrt07Y;street_address
3301702 DUQUE DE CAXIAS 2020-06-12 12:01:16 EW;OK;ChIJUeQpOnFwmQAR_tUaJ1ERoOs;street_address
3301702 DUQUE DE CAXIAS 2020-06-12 12:01:16 EW;OK;ChIJpwk1r816mQARHkTvRyhDK9c;street_address
3301702 DUQUE DE CAXIAS 2020-06-12 12:01:17 NS;OK;ChIJU6-Lrh8NmQARxzNqX_B86vk;street_address
3301702 DUQUE DE CAXIAS 2020-06-12 12:01:17 NS;OK;ChIJUeQpOnFwmQAR_tUaJ1ERoOs;street_address
3301702 DUQUE DE CAXIAS 2020-06-12 12:01:17 NS;OK;ChIJ1SBFiN16mQARG-H59SjFEtk;street_address
5002704 CAMPO GRANDE 2020-06-12 12:01:20 EW;OK;ChIJt3VFQy_phpQRKjopPBQWaOw;street_address
5002704 CAMPO GRANDE 2020-06-12 12:01:20 EW;OK;ChIJq2SZGSLmhpQRnMkDfNZjG74;street_address
5002704 CAMPO GRANDE 2020-06-12 12:01:20 EW;OK;ChIJ0xdUlsTghpQRiPMuDG0poz4;street_address
5002704 CAMPO GRANDE 2020-06-12 12:01:23 NS;OK;ChIJ3dcafPDnhpQRiKTLoYG9Wac;street_address
5002704 CAMPO GRANDE 2020-06-12 12:01:23 NS;OK;ChIJq2SZGSLmhpQRnMkDfNZjG74;street_address
5002704 CAMPO GRANDE 2020-06-12 12:01:23 NS;OK;ChIJPccqgD7whpQRR_Uj6KnGwwY;street_address
2408102 NATAL 2020-06-12 12:01:24 EW;OK;ChIJa0KErS75sgcRv4yzIWADSno;street_address
2408102 NATAL 2020-06-12 12:01:24 EW;OK;ChIJU2o7uXMAswcRqAoeJfRAh94;street_address
2408102 NATAL 2020-06-12 12:01:24 EW;OK;ChIJq_4qXl5UsgcRooATOQLYk6M;street_address
2408102 NATAL 2020-06-12 12:01:27 NS;OK;ChIJT1SL-ZipswcRQsrOZq_egz0;street_address
